questionário	questionnaire
caminhão	truck
tijolo	brick
costas	back
tamanho	size
mel	honey
arte	art
isca	bait
armadura	armor
moeda	coin
bandeja	tray
aplicado	apply
trevo	clover
floresta	forest
globo	globe
atlas	atlas
guitarra	guitar
bruto	gross
tempestade	storm
pingado	drip
exausto	exhaust
garagem	garage
hospedaria	inn
trouxe	bring
azedo	sour
chocalho	rattle
durex	durex
sucesso	success
rapidez	speed
luxuoso	luxurious
lençóis	linen
aeronaútica	aeronautic
quiosque	kiosk
repugnante	disgusting
isqueiro	lighter
advogado	lawyer
atmosfera	atmosphere
coalhada	curd
tdetempo	tdetime
andresimi	andresimi
highlight	highlight
compreensão	understanding
leitora	read
habituado	use
procure	find
silenciosamente	silently
leiar	read
oralmente	orally
fidedigna	evaluator
fornecer	provide
plastificar	laminate
limitar	limited
deixe	leave
indique	indicate
apresentação	presentation
finalizada	finished
aguarde	wait
transcrever	transcribe
retire	remove
apresente	present
pense	think
correção	correction
crivo	screen
pirâmide	pyramid
construír	build
incorreto	incorrect
finalidade	purpose
sepultar	bury
múmia	mummy
mastaba	mastabas
abrigar	house
estátua	statue
falecido	deceased
agricultor	farmer
trabalhar	work
construção	construction
quatro	four
mumificar	mummifying
técnica	technique
preservar	preserve
egípcio	egyptians
empregar	use
livro	book
mortos	dead
guia	guide
viagem	travel
alvo	a
encontrariar	find
tumba	tomb
faraó	pharaoh
ficção	fiction
aproveitar	capitalize
dígitos	digits
ordem	order
direta	direct
vou	go
escute	listen
cuidadosamente	carefully
num	inflection
ritmo	rhythm
inflexão	digit
dígito	of
seqüência	sequence
interrupção	interruption
zero	zero
nas	in
tentativas	attempts
pontos	point
ambas	both
tent	try
dgd	dgd
inversa	reverse
trás	backwards
disser	tell
corretamente	correctly
lembre	remember
inverso	reverse
ajude	help
blocos	block
cubo	cube
azul	blue
apontar	point
fizer	do
psicotoque	psychotouch
cubos	cubes
toque	touch
aleatorização	randomization
testes	test
computadorizados	computerized
devem	should
aplicados	apply
aleatória	random
sequencia	sequence
sequencias	sequences
diferentes	different
corresponde	correspond
gerais	general
neuropsicológicos	start
lembrete	reminder
neuropsicológica	neuropsychological
realizada	perform
sejam	be
realizados	carry
menor	juvenile
interferência	interference
desligue	turn
desligar	off
dela	turn
avise	warn
comerbeber	drink
começarem	begin
ajustando	adjust
posição	position
revisada	each
ajuste	adjust
volume	volume
brilho	brightness
ligado	attached
bateria	battery
implicações	implication
cm	cm
tela	screen
palmo	beyond
recostada	back
cadeira	chair
nem	not
braços	arms
esticados	stretched
aumentando	increase
distância	and
diminui	decrease
periférica	peripheral
atrapalha	hurts
tarefas	tasks
utilização	use
ampla	wide
laptop	laptop
aberta	open
visualização	view
estiver	be
faz	do
projete	project
visualizar	it
teclado	keyboard
fechada	closed
impeça	prevent
adequada	proper
sentada	sitting
centro	center
superfície	surface
fixa	fixed
apoiada	support
apoiar	support
pensa	think
variações	variations
enormes	huge
reação	reaction
inadmissível	inadmissible
iniciando	start
abra	open
atalho	shortcut
extensão	extension
arquivo	file
aberto	open
ebs	ebs
enter	enter
the	the
subject	subject
number	number
indicar	indicate
session	session
ok	ok
with	with
above	above
statup	statup
info	info
digitado	enter
aperte	press
cancel	cancel
warning	warn
file	file
andor	andor
recovery	recovery
already	already
exists	exists
confirme	confirm
deseja	want
subscrever	subscribe
anterior	previous
repetição	repetition
vc	repeat
repetindo	you
digitando	enter
anteriormente	previously
testada	test
errada	wrong
cancelar	cancel
pressionar	press
concomitantemente	ctrlalt
teclas	keys
shift	shift
joguinho	game
repassar	over
aplique	apply
determinada	determined
use	use
essa	this
aplicando	apply
seguindo	follow
gng	gng
mstr	mstr
gonogo	gonogo
è	è
acento	accent
selecione	select
administrada	administer
informações	information
corretas	correct
enxergar	see
seta	arrow
verde	green
direita	right
apertar	press
esquerda	left
ponta	head
irer	we
posicione	position
dedos	finger
indicadores	indicator
botões	button
mouse	mouse
notebook	notebook
clicar	click
práticos	practical
teremos	have
prático	practical
instruir	instruct
orientar	guide
acertando	right
rosto	face
erra	mistakes
desviar	divert
distrator	him
tcgng	tcgng
go	go
aleatorio	random
realizou	perform
intercorrências	intercurrence
problemas	problems
técnicoslogísticos	technical
influência	logistics
repetida	repeat
programa	program
recomeço	restart
incompleta	incomplete
recusou	refused
ruido	noise
ruído	noise
ideal	ideal
silencio	silence
circulação	circulation
outras	other
intensa	intense
isolado	isolated
distração	distraction
comprometido	commit
comprometiment	commitment
comprometimento	commitment
mstroop	mstroop
vermelho	red
direção	direction
tecla	key
entendeu	understand
veio	come
vermelha	red
tcmstr	tcmstr
stroop	stroop
modificado	modified
treinamentoetc	training
task	task
choice	choice
reaction	reaction
short	short
medir	measure
estrela	star
cruz	cross
face	face
estrelinha	star
fique	be
atento	careful
cometer	make
começarr	we
vier	come
apertará	press
aperta	press
devagar	slowly
dot	dot
probe	probe
spaceship	spaceship
astronauta	astronaut
voar	fly
espaçonave	spaceship
oxigênio	oxygen
nave	ship
aliar	allied
enxergarr	see
barra	spacebar
àpsico	apsico
repor	replenish
aliado	the
sobreviver	survive
enfrentar	face
desafio	challenge
defender	defend
invasor	invader
ativar	activate
escudo	shield
invisibilidade	invisibility
consiga	can
vindo	come
prever	expect
invisível	invisible
aliada	ship
fazendo	do
apertando	press
chega	arrive
dominante	dominant
tabagismo	smoking
drogas	drugs
continuamente	continuously
irmão	brother
irmãr	sister
avôavó	grandfathergrandmother
tiotia	auntie
somar	add
ingerir	drink
convívio	socializing
droga	drug
ilícito	illicit
expostoa	expose
alterar	alter
assistir	watch
dizemos	say
bulin	a
estudante	student
grupo	group
maldoso	mean
elea	elea
importunar	pester
apelido	nicknames
humilhar	humiliate
indefeso	helpless
empurrar	push
quebrar	break
pertence	belonging
ignorar	ignore
diversas	several
culpar	guilty
entregue	delivery
explique	explain
sigiloso	confidential
secreto	secret
disponível	available
coloque	put
sele	seal
preenche	complete
preencha	fill
observacional	observational
preencher	in
vizinho	neighbor
localidade	locality
frequento	attend
caracterizar	characterize
frequentar	attend
condição	condition
ruins	bad
razoáveis	reasonable
boas	good
boa	good
ótimas	great
lixo	garbage
pichações	graffiti
pintar	paint
carros	car
abandonar	abandon
queimar	burn
vandalismo	vandalism
conservação	conservation
calçadas	sidewalks
ruas	street
casas	houses
praçaslocais	squaresplaces
convivência	coexistence
andar	walk
sentiriar	feel
semáforos	traffic
sinal	sign
trânsito	lighthouse
rs	rs
farol	light
placas	sign
limite	limit
velocidade	speed
veículo	vehicle
pedestre	crosswalk
lombadas	spin
iluminação	lighting
sido	be
mora	life
classificazer	rate
classificar	classify
barraco	shack
cômodo	room
morador	resident
sede	headquarters
agradecer	appreciate
longo	long
colaboração	cooperation
voltamos	we
barulho	noise
afazer	task
delicado	sensitive
mantido	maintain
acolhir	welcome
delicar	sensitive
sessão	session
necessidade	need
vodkar	vodka
solvente	solvent
line	line
typewriter	typewriter
cemoab	cemoab
cphysab	cphysab
cphysneg	cphysneg
cseabr	cseab
textbox	textbox
questões	question
desta	this
grávido	pregnant
menino	boy
trauma	trauma
aptidões	skills
sociais	social
criançaspessoa	child
delea	dele
pior	bad
brincadeira	play
reagir	react
fácil	easy
tema	topic
flexível	flexible
encontra	find
espírito	sportsmanship
erradoa	wrong
entrelinha	line
sentindar	feel
resolver	sort
ressentimento	resentment
liderar	lead
apropriar	appropriate
copyright	copyright
robert	robert
goodman	goodman
entrevistadora	interviewer
domiciliar	home
avulso	release
conduzir	conduct
precedidas	by
chamado	call
caixa	box
alta	italic
itálico	italic
essas	these
lidas	read
precedir	precede
colocado	place
linguajar	language
coloquial	colloquial
habitual	usual
indicado	indicate
referirr	refer
índice	index
pulo	skip
condicionar	will
aquele	those
cinza	gray
pontilhado	dotted
facilitar	easy
espontânea	spontaneous
anoter	write
corresponder	correspond
relato	report
cartão	card
grafar	spell
interpretação	interpretation
imparcial	impartial
confirar	check
kit	kit
abordagem	approach
inicial	initial
comportamentos	behaviors
tratamentos	treatments
cbcl	cbcl
dybocs	dybocs
sintomas	symptoms
sensível	sensitive
caroa	dear
etapa	stage
breve	soon
consentir	consent
agendar	schedule
magnético	of
gratuito	free
custo	cost
financeiro	financial
compensação	compensation
havendo	if
comunicado	communicate
análise	analysis
cópia	copy
avulsa	single
cópias	copy
internas	internal
assinou	signed
testemunha	witness
assina	sign
riso	laugh
penalidade	penalty
solicitação	request
liberação	release
dado	datum
adicional	additional
filhoa	child
liberadoa	release
instituto	institute
nacional	national
agenda	book
caderno	book
última	last
falecimento	death
sangue	blood
entrevistas	interviews
anteriores	previous
foram	be
realizadas	perform
biológica	biological
afirmar	say
siga	follow
gerente	manager
eleito	elect
mediante	through
motivos	reason
expostos	expose
recusado	refuse
encerre	visit
remarcada	rescheduled
faleceu	die
eleger	elect
critério	criteria
passa	spend
remarque	close
falecer	die
avó	grandmother
avô	grandmother
tia	aunt
tio	uncle
prima	cousin
primo	cousin
horasdiar	daytime
escolaridade	education
analfabeta	illiterate
fundamental	school
incompleto	incomplete
antigo	former
colegial	school
superior	education
faculdade	college
coccupation	coccupation
governo	government
remuneração	remuneration
bolsa	scholarship
famílio	family
mensal	monthly
comparação	compare
pioraram	got
melhoraram	improve
culto	service
missa	masse
religião	religion
predominante	predominant
católica	catholic
evangélica	evangelical
espírita	spiritist
protestante	protestant
umbanda	umbanda
respondendo	answer
falecida	death
desconhecida	unknown
materno	mother
reg	reg
principal	main
biológicomadrasta	biological
cidade	city
estado	state
residencial	home
possui	have
comercial	business
cep	cep
analfabeto	illiterate
terceiro	third
is	be
in	in
redcap	redcap
without	without
study	study
elementary	elementary
school	school
complete	complete
intensive	intensive
middle	middle
high	high
junior	junior
incomplete	incomplete
higher	high
education	education
postgraduate	postgraduate
master	masters
does	do
not	not
correct	correct
did	do
finish	finish
former	former
completed	complete
finished	finish
studies	study
doctorate	doctorate
ocupação	occupation
desempregada	unemployed
informal	informal
lar	home
afastada	away
poa	poa
aposentada	retire
presa	catch
regime	regime
fechar	closed
renda	income
casada	married
casadar	married
solteira	single
separada	separate
divorciada	divorced
viúva	widow
separadosdivorciado	separateddivorce
cód	code
amigável	friendly
conflito	conflict
conflituosa	conflict
presenciar	witness
conflituoso	conflicting
estresse	stress
secção	section
desconhecido	unknown
paterno	father
amigosem	unrelated
biológicapadrasto	biological
pagar	pay
pensão	alimony
alimentícia	options
paga	pay
acordar	agree
empregado	employee
desempregado	unemployed
aposentado	retired
contribuir	contribute
regularmente	regularly
soma	sum
todos	all
contribuem	contribute
incluindo	include
membros	member
casado	married
solteiro	single
separado	separate
divorciado	divorced
viúvo	widower
abrir	open
caderneta	book
perderr	lose
expor	expose
semanal	weekly
diariamentequase	dailyalmost
ml	ml
cálice	glass
cigarror	cigarette
cigarrosder	cigarettesday
medicação	medication
médico	doctor
analgésico	painkiller
opióide	opioid
codeína	codeine
meperidina	meperidine
estimulante	stimulant
ritalina	ritalin
remédio	medication
diazepam	diazepam
esteroide	anabolic
opióides	opioid
umaduas	once
ns	ns
sedativos	sedative
alucinógeno	hallucinogen
inalante	inhalant
heroíno	ecstasy
inalantesolv	inhalantsolv
heroína	heroin
agredir	assault
seusua	your
tabela	table
marcação	mark
pontual	off
semestre	semester
semestres	semesters
re	re
nc	nc
morou	live
abrigo	shelter
ed	ed
uc	uc
ão	ion
ra	frog
ba	ba
lh	h
frequentou	attend
crecher	daycare
integral	full
parcial	partial
esportiva	sport
cultural	cultural
música	music
teatro	theater
ut	ut
ev	ev
to	to
mudou	change
trocou	change
repetiu	repeat
suspender	suspend
sério	serious
presenciou	witness
constante	constant
vítima	victim
violência	violence
acidente	accident
inundar	flood
catástrofe	disaster
natural	natural
cuidador	caregiver
perdeu	lose
pontue	score
aprendizagem	learning
psicoterapia	psychotherapy
veja	see
medicações	medication
usadas	use
listada	list
usou	use
aprox	approx
melhora	improvement
med	med
abrev	abbrev
seuseu	your
filhofilhar	child
beneficiar	benefit
medicamento	medication
prescrito	prescribed
prescritar	prescribe
profissional	professional
psiquiatra	psychiatrist
clínico	practitioner
posto	post
pediatra	pediatrician
particularpagoconvênio	privatepagoagreement
terapia	therapy
terapeuta	therapist
somando	add
ocupacional	occupational
internar	hospitalize
internação	hospitalization
especializar	specialize
internaçãoão	hospitalization
acompanhamento	follow
linguagem	language
orientadora	guidance
psicopedagogopedagogo	psychopedagoguepedagogue
sabeb	know
passagem	pass
assistente	worker
nfat	nfat
conselho	advice
tutelar	guardian
promotoria	prosecutor
juizar	court
febemfasefundação	febemfasefonation
eou	eou
rasgado	tear
idiota	idiot
estúpidoo	stupid
servir	be
machucadoa	his
pphyab	pphyab
pphyneg	pphyneg
pemoab	pemoab
psexab	psexab
traumar	trauma
aconteceu	happen
detalhes	detail
estava	be
envolvido	involved
acontecia	happens
esses	these
eventos	event
aconteceram	happened
providência	action
tomada	taken
atender	see
emergência	or
socorro	room
atendido	see
cômor	room
vaso	toilet
sanitário	in
domicílio	household
esgoto	sewage
água	water
encanar	pipe
pavimentação	paving
fome	hungry
digar	tell
moro	life
itens	items
quebrados	broken
há	for
rádio	radio
exceto	except
privativo	private
automóvel	car
empregada	employee
mensalista	monthly
lavar	washing
videocassete	vcr
dvd	dvd
geladeira	fridge
freezer	freezer
independente	independent
duplex	duplex
chefe	head
adotar	adopt
completa	complete
ti	you
brinquer	toy
solitário	lonely
brincar	play
amedrontar	frightens
valores	values
osa	friend
amigosa	friend
comum	common
shopping	mall
estressadoa	stressed
amigoa	friend
aprovar	approve
doa	young
doso	dosas
criançajover	child
confusão	evil
muitos	many
conforto	comfort
magoada	hurt
bmedo	bfear
criançaadolescente	childadolescent
interessar	interested
medos	fears
inclua	include
provocadoa	tease
criançar	child
amedrontadoa	afraid
saírem	leave
enjoos	she
leiavocê	read
específicas	specific
perigo	danger
elesa	they
interessadoa	interested
separaçãor	separation
animais	animals
inseto	insect
cachorro	dog
rato	rat
cobrar	snake
pássaro	bird
aranhar	spider
abelhar	bee
vespo	wasp
altura	height
escuro	dark
ruídos	noise
alarme	alarm
fogo	fire
injeção	injection
ferimento	injury
dentista	dentist
câncer	cancer
aids	aids
transporte	transport
ônibus	bus
barco	boat
avião	plane
tr	train
metrô	subway
ponte	bridge
elevador	elevator
túnel	tunnel
tipos	types
palhaço	clown
barba	beard
capacete	helmet
fantasiada	costumed
papai	santa
noel	claus
seres	imaginary
monstro	monster
fantasma	ghost
extraterrestr	extraterrestrial
bruxa	witch
específicodescreva	specific
deparar	across
obs	ob
época	time
vespa	the
fobias	phobias
aborreça	annoy
acompanhadoar	accompany
eestresse	post
acontecimento	event
traumática	traumatic
estressante	stressful
chatear	upset
maltratado	mistreat
abusar	abuse
sexualmente	sexually
assaltar	rob
aoà	toà
desastre	disaster
traumatizante	traumatic
atropelamento	hit
gravar	serious
prender	trap
prédio	building
chama	burn
desastr	disaster
sequestro	kidnapping
enchente	flooding
desabamento	landslide
ladrão	thief
gangue	gang
trato	gastrointestinal
violação	violation
abuso	abuse
estupro	rape
pág	page
doméstico	domestic
fisicamente	physically
gravemente	seriously
atacar	attack
súbito	sudden
overdose	overdose
cardíaco	heart
fcompulsão	fcompulsions
angustiadoa	distressed
traumático	traumatic
afetar	affect
relembrar	recall
lembrança	memory
vívir	vivid
vários	several
sonho	dream
lembrar	remind
memória	memory
isoladoa	isolate
afastadoa	withdraw
carinho	affection
bravoa	angry
alerta	alert
precisamos	we
suficiente	enough
decorrente	from
obcecadoo	obsess
diversos	various
hdepressão	hdepression
arranjar	get
cansadoamal	tired
lgumo	harm
agressão	aggression
relevanter	relevant
deliberadamente	deliberately
comparadoa	compare
detalhado	detailed
comportar	misbehave
sentadoo	sita
subir	climb
acalmar	calm
impulsividade	impulsiveness
fim	end
apropriado	properly
pressa	hurry
professora	teacher
inquietação	restlessness
impaciência	impatience
hiperatividade	hyperactivity
pouca	poor
respondir	answer
falto	inattention
agitação	agitation
desagradáveis	unpleasant
difíceis	difficult
difícel	difficult
irritada	angry
inadequar	inappropriate
conduta	conduct
crises	crisis
irritante	annoying
problemático	troublesome
discutir	argue
obedecer	obey
pediar	be
irritar	angry
propositadamente	purposely
culpou	blame
esteve	have
magoadoa	hurt
malvadoar	mean
vingar	revenge
reclamar	complain
classe	class
agressivo	aggressive
livrar	rid
maltratar	mistreat
loja	store
trivial	trivial
permissão	permission
matar	kill
provavelmente	probably
apliquir	apply
arma	weapon
ferir	hurt
cruel	cruel
amarrar	tie
dano	damage
fogueira	fire
papel	paper
destruir	destroy
pôr	set
ato	act
forçar	force
polícia	police
provocação	teasing
frustrar	frustrate
grita	screams
berra	scream
palavrão	profanity
desproporcional	disproportionate
três	three
avós	auntie
perde	lose
calma	cool
alimentação	diet
corporal	body
gordoa	fat
magroa	thin
vômito	vomit
decidir	decide
tiques	tics
pês	weigh
doze	twelve
gravidez	pregnancy
descreverio	describe
gordinhoa	chubby
vá	go
cms	cms
kg	kg
comparando	comparing
magro	thin
próprioar	name
resto	rest
gordo	fat
apavorar	terrifie
quilo	kilo
engordar	fat
comida	food
desejo	desire
dependente	dependent
aí	a
assinale	tick
controlena	control
listar	list
tenta	try
ocasionalmente	occasionally
chequar	check
come	eat
refeição	meal
pula	skip
esconde	hides
alimento	food
exercício	exercise
provoca	causes
toma	take
insulinar	insulin
diabéticoar	diabetic
ganho	gain
assinalado	tick
sigo	follow
menstruação	period
pílula	pill
hormonal	hormonal
contraceptivo	contraceptive
recentemente	recently
menstruar	period
pular	skip
adiante	ahead
caloria	calorie
aspecto	aspect
diminuir	decrease
relacionamento	relationship
ajudou	he
sangramento	bleed
fraqueza	weakness
intestino	bowel
pronto	emergency
tique	tic
piscar	blink
olho	eye
careta	grimace
enrugar	wrinkle
nariz	nose
sonoro	sound
tossir	cough
limpar	clear
garganta	throat
fungar	sniff
motor	motor
movimento	movement
repetitivo	repetitive
algums	any
levantar	raise
sobrancelha	eyebrow
pálpebra	eyelid
parcialmente	partially
mover	move
narina	nostril
bico	odd
beijo	kiss
amplamente	wide
encostar	place
queixo	chin
ombro	shoulder
esticar	stretch
pescoço	neck
movimentos	movement
braço	arm
perno	leg
motores	motor
necessitar	need
óculos	glass
alergia	allergy
pó	dust
vocal	vocal
súbitos	sudden
desejar	wish
ocorr	occur
hábito	habit
engolir	swallowing
grito	scream
agur	high
ah	ah
eh	eh
iii	iii
aspiração	suction
arrotar	burp
perturbadoa	disturb
tor	cough
inflamar	throat
resfriado	cold
relaxa	relax
par	stop
rebote	rebound
refiro	mean
àquela	that
opcional	optional
apesar	although
necessariamente	necessarily
desaparecer	disappear
quantas	how
metade	half
damente	sick
preocupações	concerns
positivo	positive
generosoa	generous
animadoa	exciteda
aprender	learn
afetuosoa	affectionate
confiável	reliable
divertidoa	fun
carinhosoa	affectionate
agradecidoa	grateful
agradam	please
lembradoa	remindeda
criativo	creative
manual	manual
gosta	likes
envolvidoo	involve
bomboa	bomboa
educadoa	educateda
mantém	keeps
comportadoa	behaveda
mencionar	mention
brinca	play
matéria	subject
insuficiente	insufficient
exiger	require
português	portuguese
literatura	literature
estudos	studies
matemática	math
ciência	sciences
geografia	geography
inglês	english
espanhol	spanish
língua	tongue
estrangeiro	foreign
computação	computing
biologia	biology
pareçam	seem
aplicável	applicable
infantil	childish
perseguer	chase
argumentar	argues
inferior	less
tendência	tendency
calça	pant
gozação	tease
convencidoa	convince
vantagem	advantage
anda	walks
má	bad
escuta	hears
sons	sound
impulsivoa	impulsive
age	act
sentadoa	sit
quietoa	still
grudadoa	sticks
reclama	complains
solidão	loneliness
unha	bites
confusoa	confused
desorientadoa	disorient
tensoar	tense
chora	cry
intimer	intimidate
maldade	evil
vive	life
lua	moon
prisão	constipation
medrosoa	fearful
ansiosoar	anxious
exige	require
prestir	pay
destrói	destroys
desobediente	naughty
fundo	background
dores	pains
sente	feel
ciúmer	jealous
inveja	envy
facilidade	easily
náuseas	nausea
enjoosr	nausea
desrespeita	break
corrigir	correct
vômitos	vomiting
perfeito	perfect
ataca	attack
fisicamentir	physically
teimosoa	stubborn
cutuca	pokes
repentino	sudden
mexe	move
íntima	private
desconfiadoar	suspicious
xinga	swear
desastradoar	clumsy
desajeitadoo	clumsy
coordenação	coordination
gozar	fun
ação	action
esquentar	heat
foge	away
ameaça	threatens
reservadoo	reserveda
fechadoa	closeda
chupa	suck
vê	see
fuma	smokes
masca	chew
põe	set
mata	kill
cabular	cabula
gazeia	gazeia
lento	sluggish
exibir	show
palhaçar	antic
deprimidoar	depressed
acanhadoo	shy
tímidoa	shy
barulhentoa	noisy
dorme	sleeps
us	uses
excluir	exclude
tabaco	tobacco
comete	commits
desatentoa	inattentive
cama	bed
choraminga	whine
oposto	opposite
junta	many
mencionados	mention
surgir	as
luz	light
trancado	lock
contaminação	contamination
verificar	check
desligado	off
limpo	clean
prevenir	prevent
surgimento	arise
tal	such
classifique	rate
mínima	minimum
moderada	moderate
aler	addition
ansiedader	anxiety
listado	list
perturbador	disturbing
violento	violent
exagerar	exaggerated
moralidade	moral
ofendir	offend
deus	god
perante	before
harm	harmon
and	and
religious	religious
obsessions	obsessions
rezar	pray
desfazer	undo
neutralizar	neutralize
religioso	religious
certificar	sure
incômor	uncomfortable
sacrilégio	sacrilege
exato	exact
balanceado	balanced
simétrico	symmetrical
visualmente	visually
refazer	up
arrumado	neat
excremento	excrement
produto	product
tóxico	toxic
order	order
contamination	contamination
utensílio	household
maçaneto	doorknob
guardar	keep
colecionar	collect
utilidade	use
precise	need
acumular	accumulate
inútil	useless
supersticioso	superstitious
collect	collect
misc	misc
prejudicar	harm
ouvio	hear
esq	left
comentar	comment
calar	silent
deprimido	depress
esforço	effort
assinadas	signed
esclarecer	clarify
faltante	miss
preenchir	complete
check	check
preenchido	fill
conferência	conference
disposição	disposal
minstlevel	minstlevel
finstlevel	finstlevel
ses	ses
cimaou	euphoric
alameda	avenue
santos	santos
job	job
julho	july
zona	zone
críticoa	critical
verificadora	verifier
ibope	ibope
recrítica	recrítica
verificação	verification
processamento	processing
codificação	encoder
codificador	encoding
prevention	prevention
cole	add
plástico	plastic
identificado	identify
colar	stick
frascos	bottles
saliva	saliva
etiquetas	labels
possuem	have
precedidos	by
pontilhar	dotted
coleta	collection
gestação	pregnancy
bebê	baby
fatores	factor
terceira	third
mini	mini
biológicos	biological
houver	there
troca	change
imediatamente	immediately
incorreção	incorrect
grafia	spelling
neles	they
relatado	report
assuster	alarm
representar	represent
matrícula	registration
resultado	result
inovadora	innovative
gene	gene
parcela	portion
telefônico	telephone
intuito	order
virtude	saliva
refrigerante	soda
partir	from
carta	letter
cabeçalho	header
posteriormente	later
coletados	collected
obrigatório	mandatory
pesquisas	research
científicas	scientific
humanos	human
resolução	resolution
cns	cns
sujeito	subject
documento	document
apto	suitable
ddd	ddd
tutor	tutor
curador	curator
título	title
esquizofrenia	schizophrenia
transtorno	disorder
bipolar	disorder
emr	emr
caracterização	characterization
endofenótipo	endophenotype
impacto	impact
intervenção	intervention
eurípedes	eurípedes
constantino	constantino
miguel	miguel
cargofunção	position
associado	associated
inscrição	registration
regional	regional
hcfmusp	hcfmusp
investigadores	investigator
executante	perform
rodrigo	rodrigo
affonseca	affonseca
bressan	bressan
adjunto	adjunct
unifesp	unifesp
proposta	proposal
epidemiológico	epidemiological
brasileiro	brazilian
fator	factor
planejar	plan
estratégia	strategy
aparecimento	appearance
selecionadas	select
salivo	saliva
genético	genetic
optar	choose
conhecimento	knowledge
amostra	sample
colher	collect
colhir	collect
aleatoriamente	randomly
sorteio	lottery
educação	education
consistir	consist
reunião	meeting
bimensal	bimonthly
elemento	element
básico	basic
retirada	withdrawal
conseqüência	consequence
seguimento	follow
pedimos	ask
desligamento	termination
persistência	persist
manutenção	keep
paciente	patient
comissão	commission
mancha	spot
arroxear	purplish
previamente	previously
pomar	ointment
exames	blood
laboratorial	laboratory
equivalente	equivalent
chá	will
coletada	collect
envolvimento	involvement
angústia	anguish
consider	consider
crânio	imaging
intermitente	intermittent
entanto	period
amenizar	alleviate
entretanto	however
tomografia	so
computadorizado	the
nocivo	harmful
organismo	body
cansar	tired
demor	take
treinados	train
instrumento	instrument
sintar	uncomfortable
desconfortável	uncomfortable
interromper	stop
responsabilizar	responsible
relativo	relate
possibilitar	enable
possibilita	enable
instituição	institution
potencial	potential
sociedade	society
aumentar	increase
detecção	detection
análises	analyze
armazenar	store
toda	all
submetir	submit
aprovação	approval
projetos	projects
cappesq	cappesq
conep	conep
mantir	keep
solucionar	solve
descobrir	discover
ovídio	ovídio
pires	pires
tel	tel
cappesqhcnetuspbr	cappesqhcnetuspbr
consulta	appointment
pagamento	payment
custear	cover
orçamento	budget
propor	propose
nexo	causal
causal	link
comprovar	prove
discuti	discuss
decisão	decision
hospitalar	hospital
concordo	agree
submeter	submit
representante	representative
portador	have
deficiência	impairment
auditivo	auditory
visual	visual
obtiver	obtain
voluntário	voluntarily
compre	buy
neuropsicológico	neuropsychological
min	min
nota	grade
trazer	bring
obrigadoa	while
cadastro	register
forneçar	provide
atualizado	update
ésão	home
remarcar	reschedule
supervisor	supervisor
desejarem	wish
discordante	discording
prevalece	prevail
dias	day
triagem	see
estudava	study
eeef	eeef
col	col
est	est
eeem	eeem
eeeb	eeeb
eee	eee
eeb	bse
ie	ie
andre	andré
rafael	rafael
simioni	simioni
skincolor	skincolor
birthdate	birthdate
ghelp	ghelp
ghelpincome	ghelpincome
sameschool	sameschool
instlevel	installlevel
piorar	worsen
piorou	worsen
melhorou	improved
freqüentar	attend
finstatus	status
adapte	adapt
rg	id
conhecida	know
quantidade	amount
parto	childbirth
assinalada	checked
especificada	specified
especificado	specified
moravamantinha	moravamantinha
mesesanos	months
idades	age
limites	exactly
ocorreu	occur
infânciar	childhood
morava	live
períodos	periods
mantinha	keep
juntosa	together
elesvocês	spend
passampassar	together
sejafor	be
cedo	early
mrelation	relationship
mcontact	mcontact
mfigurar	figure
mfigurewho	figurewho
ginasial	junior
autônoma	autonomous
encostada	lean
mincome	mincome
moccupation	occupation
mmarital	marital
mdivorce	mdivorce
conhecido	know
estãoestar	no
autônomo	autonomous
foccupation	occupation
contribui	contribute
fmarital	fmarital
oincome	oincome
coletar	collect
bochecho	rinse
enxaguante	mouth
bucal	rinse
colutório	mouthwash
fio	dental
pasta	folder
basta	just
encha	fill
potinho	pot
lembro	remember
útil	useful
vista	view
massageie	massage
bochecha	cheek
açúcar	sugar
refinar	refined
frasco	bottle
lateral	side
irá	will
cair	drop
cuspir	spit
líquida	liquid
bolhas	bubble
espuma	foam
contam	count
coletando	collection
indicada	indicate
ultrapassar	exceed
claque	clap
reagente	reagent
rompendo	break
tampa	lid
misturar	mix
segundos	second
virando	upside
gripe	influenza
resfriados	the
catarro	phlegm
quiserem	ashamed
terem	them
permita	allow
ida	to
deste	this
cuspiu	spot
encheu	fill
disponíveis	available
falecidos	death
recusaram	refuse
colete	vest
retorno	return
esteja	be
retornando	return
bochechos	roughs
intervalo	interval
relógio	watch
mesmos	same
procedimentos	procedures
cruzadar	cross
coletado	collected
lote	down
lot	lot
outra	another
perímetro	perimeter
recuperação	recovery
fechado	closed
agendada	schedule
entrevisador	interviewer
agendado	schedule
retornar	return
exclusivo	exclusive
numero	number
tinha	have
conseguido	obtained
números	number
documentos	document
dn	dn
marcado	marked
desconhecidos	death
gen	gen
referente	concern
propriamente	itself
habitos	habit
bebe	drinking
conferir	check
namoro	date
casamento	marriage
planejado	plan
passageiro	mild
moderar	moderate
aconselhar	advise
apoiado	support
porém	but
pesar	weigh
carteira	wallet
conferido	check
estatura	height
apgar	apgar
carteirinha	card
constar	minute
trimestre	quarter
conferer	check
birthweight	birthweight
adiantar	ahead
prematura	premature
quanta	how
cesárea	cesarean
fórceps	forceps
ferro	iron
uticti	uticti
unidadecentro	unit
intensivo	intensive
